Month;Province;Grocery_and_pharmacy;Parks;Resedential;Transit_station;Retail_and_Creation;Workplace
December;Riau;5.9;2.58;6.42;-22.39;-6.87;-24
January;Riau;-4.77;-2.9;6.61;-28.52;-15.61;-25.65
February;Riau;-1.51;-8.72;1;-19.44;-10.37;-16.63
March;Riau Islands;-2.58;-13.16;4.71;-31.03;-14.71;-7.89
April;Riau Islands;-20.87;-35.67;15.53;-64.53;-40.77;-24.03
May;Riau Islands;-15.52;-32.55;16.71;-71.48;-34.68;-29.06
June;Riau Islands;-15;-23.83;12.33;-60.83;-26.17;-16.73
July;Riau Islands;-10.74;-17.74;11.13;-53.16;-19.61;-16.19
Augst;Riau Islands;-10.55;-14.23;10.81;-53.58;-20.74;-18.61
September;Riau Islands;-12.27;-23.9;10.53;-55.2;-23.9;-16.97
October;Riau Islands;-8.84;-14.32;6.81;-53.87;-22.9;-19.87
November;Riau Islands;-11;-23.77;4.97;-51.7;-24;-18.93
December;Riau Islands;-5.81;-9.23;6.19;-46.06;-19.71;-22.32
January;Riau Islands;-17.48;-26.52;5.74;-56.81;-28.58;-23.9
February;Riau Islands;-7.37;-12.16;-0.21;-37.86;-15.79;-14.12
March;South East Sulawesi;-3.66;-11.92;5.03;-15.24;-13.39;-10.05
April;South East Sulawesi;-22.73;-24.27;13.4;-51.5;-39.57;-25.5
May;South East Sulawesi;-10.71;-22;12.84;-57.29;-31.32;-22.19
June;South East Sulawesi;-3.3;-15.1;9.2;-42.6;-18.13;-11.37
July;South East Sulawesi;5.42;-13.71;8.23;-28.77;-9.13;-11.35
Augst;South East Sulawesi;10.84;-0.84;6.16;-15;-4.68;-10.74
September;South East Sulawesi;8.77;-2.87;8.2;-16.15;-6.27;-9.37
October;South East Sulawesi;11.61;5.81;5.55;-6.19;-5.16;-18.48
November;South East Sulawesi;12.3;-0.73;2.73;-0.4;-3.03;-16.53
December;South East Sulawesi;22.29;10.42;5.32;4.77;1.68;-18.29
January;South East Sulawesi;12.77;-0.52;5.97;-19.58;-9.03;-18.61
February;South East Sulawesi;7.58;-5.67;0.98;-12.09;-7.3;-12.51
March;South Kalimantan;0.08;-8.82;4.24;-15.03;-8.79;-9.55
April;South Kalimantan;-19.37;-35.7;13.6;-51.07;-34.97;-25.5
May;South Kalimantan;-16.52;-36.77;15.39;-57.81;-35.23;-27.87
June;South Kalimantan;-12;-25.2;12.17;-46.33;-21.73;-17.73
July;South Kalimantan;-7.35;-17.32;11.06;-39.45;-16.48;-18.45
Augst;South Kalimantan;-4;-4.97;9.9;-31.58;-13.42;-18.61
September;South Kalimantan;-3.83;-7.83;10.3;-32.73;-13.73;-16.37
October;South Kalimantan;1.13;-3.23;7.1;-26.16;-11.26;-21.16
November;South Kalimantan;0.4;-9.47;4.7;-21.27;-10.3;-19.57
December;South Kalimantan;6.29;-0.65;7.26;-19.42;-7.68;-21.87
January;South Kalimantan;-7.77;-16.61;8.29;-34.74;-20.03;-27.77
February;South Kalimantan;-2.93;-12.07;2;-19.72;-10.42;-16.65
March;South Sulawesi;-1.05;-13.29;6.03;-19.24;-14.92;-13.53
April;South Sulawesi;-24.27;-28.17;16.37;-59;-46.47;-35.43
May;South Sulawesi;-17.48;-26.29;16.45;-67.71;-42.48;-34.23
June;South Sulawesi;-8.6;-12.73;11.5;-55.73;-25.13;-22.27
July;South Sulawesi;-3.16;-8.16;10.81;-49.32;-18.94;-22.03
Augst;South Sulawesi;2.52;9.16;7.87;-42.1;-13.55;-21.42
September;South Sulawesi;4.67;8.6;9.57;-39.07;-11.57;-18.57
October;South Sulawesi;9.77;12.55;8.16;-34.55;-11.45;-23.03
November;South Sulawesi;8.03;1.6;6.6;-30.83;-10.47;-21.2
December;South Sulawesi;11.71;2.87;10.94;-27.81;-12;-25.84
January;South Sulawesi;-2;-13.48;12.1;-39.81;-24.13;-30.81
February;South Sulawesi;0.4;-13.16;5.35;-24.79;-14.33;-18.14
March;South Sumatra;-0.13;-5.89;4.03;-15.47;-10.26;-9.21
April;South Sumatra;-19.17;-24.33;13.43;-46.83;-35.93;-28.27
May;South Sumatra;-16.19;-23.48;14.58;-51.35;-35.77;-29.71
June;South Sumatra;-10.23;-12.03;11.17;-45.7;-24.4;-19.07
July;South Sumatra;-2.32;-0.9;9.35;-40.35;-16.29;-18.48
Augst;South Sumatra;0.45;8.39;7.65;-38.39;-12.29;-17.65
September;South Sumatra;0.83;3.13;9.57;-38.47;-14.23;-15.67
October;South Sumatra;3.65;5.42;7.58;-36.42;-15.42;-23.26
November;South Sumatra;2.47;-0.47;5.5;-34.63;-15;-21.77
December;South Sumatra;7.52;10.13;8.03;-26.94;-11.55;-24.9
January;South Sumatra;-3.16;-1.77;8.48;-35.71;-18.77;-25.74
February;South Sumatra;0.16;-5.37;2.79;-22.81;-12.56;-16.26
March;Special Region of Yogyakarta;-7.37;-31.79;7.89;-33.05;-17.82;-14.08
April;Special Region of Yogyakarta;-31.73;-58.07;18.03;-68.9;-48.37;-38.1
May;Special Region of Yogyakarta;-30.87;-59.03;18.68;-76.68;-47.58;-39.68
June;Special Region of Yogyakarta;-22.97;-44.67;13.87;-64.83;-32.53;-29.43
July;Special Region of Yogyakarta;-17.81;-35.06;12;-56.77;-24.61;-27.19
Augst;Special Region of Yogyakarta;-12.68;-20.65;10.55;-48.61;-18.42;-25.55
September;Special Region of Yogyakarta;-12.3;-24.97;11.53;-49.97;-18.1;-22
October;Special Region of Yogyakarta;-7.58;-20.03;10.68;-46.23;-17.48;-24.35
November;Special Region of Yogyakarta;-9.43;-24.63;9.1;-43.3;-16.73;-21.93
December;Special Region of Yogyakarta;-6.13;-17.35;11.9;-38.81;-15.68;-25.42
January;Special Region of Yogyakarta;-18.84;-37.68;13;-54.32;-28;-28.97
February;Special Region of Yogyakarta;-10.77;-29.16;6.51;-40.02;-16.49;-17.16
March;West Java;-0.68;-12.79;7.5;-19.71;-14.03;-13.13
April;West Java;-20.47;-34.43;18.63;-56.1;-38.63;-35.37
May;West Java;-6.45;-25.61;18.87;-49.39;-48.74;-37.03
June;West Java;1.83;-8.3;13.67;-34.9;-33.57;-22.57
July;West Java;6.13;-0.23;12.16;-26.58;-23.06;-20.39
Augst;West Java;7.61;9.94;11.39;-23.35;-18;-20.32
September;West Java;2.87;2.07;13.63;-31.7;-20.37;-19.23
October;West Java;4.55;2.68;12.06;-25.9;-20.06;-22.42
November;West Java;3.83;-2.33;9.33;-23.2;-17.5;-19.57
December;West Java;8.1;3.97;12.45;-19.77;-15.1;-23.39
January;West Java;-5.16;-10;13.19;-33.68;-24.9;-25.87
February;West Java;-0.07;-11.88;6.65;-19.77;-14.84;-16.12
March;West Kalimantan;-8.68;-16.95;4.82;-26.18;-21.11;-12.16
April;West Kalimantan;-25.53;-32.3;13.43;-50.53;-47.33;-28.07
May;West Kalimantan;-17.06;-27.48;13.1;-52.26;-42.48;-28.94
June;West Kalimantan;-12.63;-17.47;9.93;-43.97;-28.13;-17.43
July;West Kalimantan;-6.94;-13.94;8.84;-32.97;-20.87;-16.32
Augst;West Kalimantan;-4.42;-2.97;7.32;-28.87;-17.74;-16.45
September;West Kalimantan;-8.7;-13.93;8.67;-34.77;-21.27;-16.03
October;West Kalimantan;-4.94;-11.55;6.1;-36.39;-22.94;-22.77
November;West Kalimantan;-7.63;-21.77;4.1;-35.53;-23.9;-23.27
